dataset,split,model,threshold_probability,tp,fp,tn,fn,net_benefit,net_benefit_treat_all,net_benefit_treat_none,better_than_treat_all,better_than_treat_none,candidate_note,test_set_used_for_selection,best_model_at_threshold,rank_model_only_at_threshold
taiwan,validation,Best Scorecard probability ranking,0.2,856,1087,3586,471,0.09737499999999999,0.02645833333333336,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.2,867,1042,3631,460,0.10108333333333333,0.02645833333333336,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,3
taiwan,validation,SCRE-Optimized probability ranking,0.2,932,1145,3528,395,0.107625,0.02645833333333336,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.2,925,1130,3543,402,0.10708333333333334,0.02645833333333336,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.2,894,1174,3499,433,0.10008333333333333,0.02645833333333336,0.0,True,True,,False,SCRE-Optimized probability ranking,6
taiwan,validation,V2 final locked policy ranking,0.21,851,1013,3660,476,0.0969535864978903,0.014135021097046452,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best CatBoost probability ranking,0.21,851,1013,3660,476,0.0969535864978903,0.014135021097046452,0.0,True,True,,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best Scorecard probability ranking,0.21,840,1021,3652,487,0.09476582278481015,0.014135021097046452,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.21,853,969,3704,474,0.09923628691983122,0.014135021097046452,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,3
taiwan,validation,SCRE-Optimized probability ranking,0.21,894,1041,3632,433,0.10287974683544304,0.014135021097046452,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.21,887,1018,3655,440,0.10273206751054853,0.014135021097046452,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.21,878,1065,3608,449,0.09914978902953589,0.014135021097046452,0.0,True,True,,False,SCRE-Optimized probability ranking,4
