dataset,analysis_type,fold,seed,n,precision,recall,specificity,pr_auc,roc_auc,cost,manual_review_rate,calibration_error,tp,fp,fn,tn,target_rate,score_mean,score_std,low_rate,manual_rate,high_rate,score_psi_vs_first_order_block,mean_feature_psi_vs_first_order_block,max_feature_psi_vs_first_order_block,decision_stability,real_temporal_validation,use_in_report_as,limitation
taiwan,random_locked_test_partition_diagnostic,1,123.0,1200,0.5531914893617021,0.5842696629213483,0.864951768488746,0.561785985184365,0.7920445102785505,521.0,0.2916666666666667,0.027045349723903163,156,126,111,807,0.2225,0.21677910243422469,0.1948325639829242,0.47333333333333333,0.2916666666666667,0.235,,,,0.991,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,2,123.0,1200,0.543046357615894,0.5963636363636363,0.8508108108108108,0.6075072376472392,0.8024373464373464,523.0,0.2916666666666667,0.016318304801812143,164,138,111,787,0.22916666666666666,0.22256854125236014,0.19713847765688897,0.45666666666666667,0.2916666666666667,0.25166666666666665,,,,0.9888333333333333,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,3,123.0,1200,0.5145985401459854,0.5465116279069767,0.8588110403397028,0.5295322684816857,0.764450534077256,589.0,0.3016666666666667,0.020688945968818682,141,133,117,809,0.215,0.21773590013637772,0.19734640941520845,0.47,0.3016666666666667,0.22833333333333333,,,,0.9878333333333333,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,4,123.0,1200,0.5283018867924528,0.6176470588235294,0.8383620689655172,0.6091826969568183,0.7997472426470589,517.0,0.2783333333333333,0.0211920316946624,168,150,104,778,0.22666666666666666,0.2319534783314287,0.2078260023299341,0.45666666666666667,0.2783333333333333,0.265,,,,0.9755,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,5,123.0,1200,0.50187265917603,0.5254901960784314,0.8592592592592593,0.5202816700919649,0.7668056852370577,555.5,0.3125,0.019373975980043808,134,133,121,812,0.2125,0.21738443973478436,0.19687679672583364,0.465,0.3125,0.2225,,,,0.982,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,1,456.0,1200,0.5543478260869565,0.5464285714285714,0.866304347826087,0.5986838301413502,0.7727484472049689,590.0,0.2866666666666667,0.02879399152524579,153,123,127,797,0.23333333333333334,0.21428806835769734,0.19566156471198712,0.48333333333333334,0.2866666666666667,0.23,,,,0.981,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,2,456.0,1200,0.5331010452961672,0.5930232558139535,0.8577494692144374,0.5627451540608973,0.8005521815698087,501.0,0.30333333333333334,0.0171489528327937,153,134,105,808,0.215,0.2217376376479453,0.19667941559900234,0.4575,0.30333333333333334,0.23916666666666667,,,,0.9918333333333333,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,3,456.0,1200,0.527027027027027,0.5693430656934306,0.8488120950323974,0.5719199262650144,0.7732792325519068,571.0,0.3016666666666667,0.017305428771141995,156,140,118,786,0.22833333333333333,0.22283990911786097,0.19764611174663418,0.45166666666666666,0.3016666666666667,0.24666666666666667,,,,0.9873333333333333,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,4,456.0,1200,0.5163398692810458,0.6124031007751938,0.8428874734607219,0.5571558893573944,0.797904425681792,513.0,0.2833333333333333,0.014650074686317134,158,148,100,794,0.215,0.22889674708832056,0.20822233513402238,0.46166666666666667,0.2833333333333333,0.255,,,,0.9855,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,5,456.0,1200,0.5143884892086331,0.556420233463035,0.8568398727465536,0.5375108669831034,0.7855754669879638,530.5,0.30083333333333334,0.012324210964157173,143,135,114,808,0.21416666666666667,0.2186590996773514,0.19591179142599074,0.4675,0.30083333333333334,0.23166666666666666,,,,0.9911666666666666,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,1,789.0,1200,0.5098684210526315,0.5805243445692884,0.8403001071811361,0.5701126754210821,0.7746145292660702,558.0,0.2816666666666667,0.020160383945348647,155,149,112,784,0.2225,0.225264169011121,0.20135047267199818,0.465,0.2816666666666667,0.25333333333333335,,,,0.9864999999999999,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
