t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.25,0.4,728.0,402,236,942,0.25443037974683547,0.14936708860759493,0.5962025316455696,67,275,335,667,88,148,0.7080679405520169,0.8114355231143552,0.9184914841849149,0.850632911392405,True,True,True
0.25,0.6,732.5,402,501,677,0.25443037974683547,0.31708860759493673,0.42848101265822786,67,147,335,530,225,276,0.7828655834564254,0.6447688564476886,0.9184914841849149,0.6829113924050633,True,True,True
0.25,0.35,734.0,402,176,1002,0.25443037974683547,0.11139240506329114,0.6341772151898735,67,311,335,691,64,112,0.689620758483034,0.8406326034063261,0.9184914841849149,0.8886075949367088,True,True,True
0.05,0.1,737.0,0,50,1530,0.0,0.03164556962025317,0.9683544303797469,0,712,0,818,4,46,0.534640522875817,0.9951338199513382,1.0,0.9683544303797469,True,True,True
0.25,0.3,738.5,402,93,1085,0.25443037974683547,0.05886075949367089,0.6867088607594937,67,357,335,728,27,66,0.6709677419354839,0.8856447688564477,0.9184914841849149,0.9411392405063291,True,True,True
0.25,0.65,743.0,402,576,602,0.25443037974683547,0.36455696202531646,0.3810126582278481,67,120,335,482,273,303,0.8006644518272426,0.5863746958637469,0.9184914841849149,0.6354430379746835,True,True,True
0.25,0.7,760.0,402,674,504,0.25443037974683547,0.42658227848101266,0.3189873417721519,67,88,335,416,339,335,0.8253968253968254,0.5060827250608273,0.9184914841849149,0.5734177215189873,True,True,True
0.3,0.55,813.5,495,333,752,0.31329113924050633,0.2107594936708861,0.4759493670886076,94,177,401,575,153,180,0.7646276595744681,0.6995133819951338,0.8856447688564477,0.7892405063291139,True,True,True
0.3,0.45,814.5,495,201,884,0.31329113924050633,0.12721518987341773,0.5594936708860759,94,244,401,640,88,113,0.7239819004524887,0.7785888077858881,0.8856447688564477,0.8727848101265823,True,True,True
0.3,0.5,814.5,495,265,820,0.31329113924050633,0.16772151898734178,0.5189873417721519,94,212,401,608,120,145,0.7414634146341463,0.7396593673965937,0.8856447688564477,0.8322784810126582,True,True,True
0.3,0.4,816.5,495,143,942,0.31329113924050633,0.09050632911392405,0.5962025316455696,94,275,401,667,61,82,0.7080679405520169,0.8114355231143552,0.8856447688564477,0.9094936708860759,True,True,True
0.3,0.6,821.0,495,408,677,0.31329113924050633,0.2582278481012658,0.42848101265822786,94,147,401,530,198,210,0.7828655834564254,0.6447688564476886,0.8856447688564477,0.7417721518987341,True,True,True
0.3,0.35,822.5,495,83,1002,0.31329113924050633,0.052531645569620256,0.6341772151898735,94,311,401,691,37,46,0.689620758483034,0.8406326034063261,0.8856447688564477,0.9474683544303798,True,True,True
0.3,0.65,831.5,495,483,602,0.31329113924050633,0.3056962025316456,0.3810126582278481,94,120,401,482,246,237,0.8006644518272426,0.5863746958637469,0.8856447688564477,0.6943037974683545,True,True,True
0.3,0.7,848.5,495,581,504,0.31329113924050633,0.3677215189873418,0.3189873417721519,94,88,401,416,312,269,0.8253968253968254,0.5060827250608273,0.8856447688564477,0.6322784810126583,True,True,True
0.3,0.75,874.0,495,682,403,0.31329113924050633,0.4316455696202532,0.25506329113924053,94,63,401,340,388,294,0.8436724565756824,0.41362530413625304,0.8856447688564477,0.5683544303797469,True,True,True
0.35,0.55,957.0,578,250,752,0.3658227848101266,0.15822784810126583,0.4759493670886076,131,177,447,575,116,134,0.7646276595744681,0.6995133819951338,0.8406326034063261,0.8417721518987342,True,True,True
