dataset,study_name,trial_number,state,objective,primary_metric_pr_auc,cv_n_splits,cv_n_repeats,cv_total_folds,metric_pr_auc,metric_roc_auc,metric_recall,metric_brier_score,metric_fn_weighted_cost,metric_fn,metric_fp,metric_tp,metric_tn,metric_pr_auc_std,param_model_type,param_lgbm_n_estimators,param_lgbm_learning_rate,param_lgbm_num_leaves,param_lgbm_max_depth,param_lgbm_min_child_samples,param_lgbm_subsample,param_lgbm_colsample_bytree,param_lgbm_reg_alpha,param_lgbm_reg_lambda,param_lgbm_class_weight,param_cat_iterations,param_cat_depth,param_cat_learning_rate,param_cat_l2_leaf_reg,param_cat_random_strength,param_cat_bagging_temperature,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_learning_rate,param_xgb_subsample,param_xgb_colsample_bytree,param_xgb_min_child_weight,param_xgb_reg_alpha,param_xgb_reg_lambda
taiwan,taiwan_pr_auc_optuna,34,COMPLETE,mean_cv_pr_auc,0.5663471554867523,5,3,15,0.5663471554867523,0.7878477844726484,0.3746849050774576,0.13274250052409886,2633.4666666666667,498.0,143.46666666666667,298.4,2660.133333333333,0.011084454755818334,catboost,,,,,,,,,,,400.0,6.0,0.029955976954028966,11.300617019550398,0.17109079023206816,1.3608562132232722,,,,,,,,
taiwan,taiwan_pr_auc_optuna,35,COMPLETE,mean_cv_pr_auc,0.5671455208848523,5,3,15,0.5671455208848523,0.7882022065686597,0.37150442719662724,0.13260469619608276,2643.0,500.53333333333336,140.33333333333334,295.8666666666667,2663.266666666667,0.010055454456863192,catboost,,,,,,,,,,,400.0,6.0,0.017640564914818545,7.684468064474484,0.10018253774860972,1.694311174733216,,,,,,,,
taiwan,taiwan_pr_auc_optuna,36,COMPLETE,mean_cv_pr_auc,0.566727713566681,5,3,15,0.566727713566681,0.7883076593396102,0.37158670811186834,0.13267263260825327,2641.5333333333333,500.46666666666664,139.2,295.93333333333334,2664.4,0.011293783649683998,catboost,,,,,,,,,,,450.0,7.0,0.013011023804771772,12.153730637262198,0.4724269654452278,0.9911994240785316,,,,,,,,
taiwan,taiwan_pr_auc_optuna,37,COMPLETE,mean_cv_pr_auc,0.5677353754192558,5,3,15,0.5677353754192558,0.7885265496891826,0.37242538497590416,0.13260325199677164,2641.4,499.8,142.4,296.6,2661.2,0.011012064674149481,catboost,,,,,,,,,,,400.0,6.0,0.021952777848771348,19.28458602543232,0.21336361215946262,1.3691427014706496,,,,,,,,
taiwan,taiwan_pr_auc_optuna,38,COMPLETE,mean_cv_pr_auc,0.5677107438914021,5,3,15,0.5677107438914021,0.7882096755524958,0.3704999274919138,0.13263328635460792,2645.6,501.3333333333333,138.93333333333334,295.06666666666666,2664.6666666666665,0.011347389327047291,catboost,,,,,,,,,,,350.0,5.0,0.023571597450860512,19.568207845245187,0.2196395650098622,1.0549676434742419,,,,,,,,
taiwan,taiwan_pr_auc_optuna,39,COMPLETE,mean_cv_pr_auc,0.5675353387029577,5,3,15,0.5675353387029577,0.7882189942521202,0.3737639472981806,0.1326345370623473,2637.266666666667,498.73333333333335,143.6,297.6666666666667,2660.0,0.010924641604243966,catboost,,,,,,,,,,,350.0,5.0,0.034535481707743565,18.11011822991661,0.3807508766132922,0.9858033293522808,,,,,,,,
taiwan,taiwan_pr_auc_optuna,40,COMPLETE,mean_cv_pr_auc,0.5486895202410913,5,3,15,0.5486895202410913,0.7754494624560775,0.3696601997860486,0.13645739137253424,2665.6666666666665,502.0,155.66666666666666,294.4,2647.9333333333334,0.011143700395802088,lightgbm,600.0,0.05220654562405362,15.0,7.0,84.0,0.8531940534995445,0.9785333100735761,0.001664608105165282,1.039946938257837,,,,,,,,,,,,,,,
taiwan,taiwan_pr_auc_optuna,41,COMPLETE,mean_cv_pr_auc,0.5676215947286508,5,3,15,0.5676215947286508,0.7881338074607565,0.37150442719662724,0.13260161341151105,2641.866666666667,500.53333333333336,139.2,295.8666666666667,2664.4,0.011154475830803026,catboost,,,,,,,,,,,400.0,5.0,0.022310001758966067,19.59226636084595,0.1372165066179647,1.2677779020922977,,,,,,,,
taiwan,taiwan_pr_auc_optuna,42,COMPLETE,mean_cv_pr_auc,0.5675779505560051,5,3,15,0.5675779505560051,0.7884958909154274,0.372424123965709,0.13258230050429418,2639.866666666667,499.8,140.86666666666667,296.6,2662.733333333333,0.010514868943324419,catboost,,,,,,,,,,,350.0,6.0,0.02198116293564704,13.563394595325418,0.23651268138361337,1.078562045095526,,,,,,,,
taiwan,taiwan_pr_auc_optuna,43,COMPLETE,mean_cv_pr_auc,0.5681115611905203,5,3,15,0.5681115611905203,0.7884857228832495,0.37334487157662005,0.1325767205416936,2636.8,499.06666666666666,141.46666666666667,297.3333333333333,2662.133333333333,0.011025547940953336,catboost,,,,,,,,,,,400.0,6.0,0.021618609710575335,19.859001651359844,0.19157085209785377,0.9080387599429229,,,,,,,,
taiwan,taiwan_pr_auc_optuna,44,COMPLETE,mean_cv_pr_auc,0.5674317305349813,5,3,15,0.5674317305349813,0.788394607913446,0.3698288598996656,0.13257921416190305,2648.4666666666667,501.8666666666667,139.13333333333333,294.53333333333336,2664.4666666666667,0.01118733561120993,catboost,,,,,,,,,,,350.0,5.0,0.024286531783041545,19.20592348979994,0.19822196567460595,0.7955445594086037,,,,,,,,
taiwan,taiwan_pr_auc_optuna,45,COMPLETE,mean_cv_pr_auc,0.5648819138098694,5,3,15,0.5648819138098694,0.7862762455603484,0.3597829170948847,0.133078267507749,2679.133333333333,509.8666666666667,129.8,286.53333333333336,2673.8,0.011756176648472635,xgboost,,,,,,,,,,,,,,,,,350.0,4.0,0.010327282097660798,0.9993143067859842,0.8311842932386704,5.0,1.093358608678785e-08,0.0010471453591054585
taiwan,taiwan_pr_auc_optuna,46,COMPLETE,mean_cv_pr_auc,0.5658958755021007,5,3,15,0.5658958755021007,0.7878366328486114,0.3757728416234245,0.13280070913639458,2628.4666666666667,497.1333333333333,142.8,299.26666666666665,2660.8,0.010812468482819668,catboost,,,,,,,,,,,400.0,5.0,0.041114270658010536,15.081149433682873,0.3192050455199683,0.9515024366801734,,,,,,,,
