t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.35,0.45,927.0,570,126,884,0.36075949367088606,0.07974683544303797,0.5594936708860759,125,239,445,645,52,74,0.7296380090497737,0.7846715328467153,0.8479318734793188,0.920253164556962,True,True,True
0.35,0.5,930.5,570,195,815,0.36075949367088606,0.12341772151898735,0.5158227848101266,125,208,445,607,90,105,0.7447852760736197,0.7384428223844283,0.8479318734793188,0.8765822784810127,True,True,True
0.35,0.55,932.0,570,266,744,0.36075949367088606,0.16835443037974684,0.4708860759493671,125,174,445,570,127,139,0.7661290322580645,0.6934306569343066,0.8479318734793188,0.8316455696202532,True,True,True
0.35,0.4,934.0,570,66,944,0.36075949367088606,0.04177215189873418,0.5974683544303797,125,276,445,668,29,37,0.7076271186440678,0.8126520681265207,0.8479318734793188,0.9582278481012658,True,True,True
0.35,0.6,941.5,570,327,683,0.36075949367088606,0.2069620253164557,0.43227848101265826,125,153,445,530,167,160,0.7759882869692533,0.6447688564476886,0.8479318734793188,0.7930379746835443,True,True,True
0.35,0.65,949.5,570,413,597,0.36075949367088606,0.26139240506329114,0.3778481012658228,125,118,445,479,218,195,0.8023450586264657,0.5827250608272506,0.8479318734793188,0.7386075949367089,True,True,True
0.35,0.7,962.0,570,508,502,0.36075949367088606,0.32151898734177214,0.31772151898734174,125,83,445,419,278,230,0.8346613545816733,0.5097323600973236,0.8479318734793188,0.6784810126582278,True,True,True
0.35,0.75,988.0,570,610,400,0.36075949367088606,0.3860759493670886,0.25316455696202533,125,58,445,342,355,255,0.855,0.41605839416058393,0.8479318734793188,0.6139240506329114,True,True,True
0.4,0.45,1039.0,636,60,884,0.40253164556962023,0.0379746835443038,0.5594936708860759,154,239,482,645,23,37,0.7296380090497737,0.7846715328467153,0.8126520681265207,0.9620253164556962,True,True,True
0.4,0.5,1042.5,636,129,815,0.40253164556962023,0.08164556962025317,0.5158227848101266,154,208,482,607,61,68,0.7447852760736197,0.7384428223844283,0.8126520681265207,0.9183544303797468,True,True,True
0.4,0.55,1044.0,636,200,744,0.40253164556962023,0.12658227848101267,0.4708860759493671,154,174,482,570,98,102,0.7661290322580645,0.6934306569343066,0.8126520681265207,0.8734177215189873,True,True,True
0.4,0.6,1053.5,636,261,683,0.40253164556962023,0.1651898734177215,0.43227848101265826,154,153,482,530,138,123,0.7759882869692533,0.6447688564476886,0.8126520681265207,0.8348101265822785,True,True,True
