dataset,model,evaluation_split,calibration_type,threshold_probability,tp,fp,tn,fn,net_benefit,net_benefit_treat_all,net_benefit_treat_none,standardized_net_benefit,is_better_than_treat_all,is_better_than_treat_none,rank_at_threshold
taiwan,Best XGBoost,test,isotonic,0.7,235,73,4600,1092,0.010777777777777785,-1.5961111111111106,0.0,0.04873147450389353,True,True,4
taiwan,Best XGBoost,test,isotonic,0.71,209,62,4611,1118,0.009534482758620694,-1.6856321839080455,0.0,0.04310994465088482,True,True,5
taiwan,Best XGBoost,test,isotonic,0.72,198,56,4617,1129,0.009000000000000001,-1.7815476190476185,0.0,0.04069329314242653,True,True,5
taiwan,Best XGBoost,test,isotonic,0.73,192,51,4622,1135,0.00901851851851852,-1.8845679012345673,0.0,0.04077702419827514,True,True,3
taiwan,Best XGBoost,test,isotonic,0.74,171,40,4633,1156,0.009525641025641029,-1.9955128205128199,0.0,0.043069966958437206,True,True,2
taiwan,Best XGBoost,test,isotonic,0.75,167,36,4637,1160,0.009833333333333333,-2.1153333333333335,0.0,0.044461190655614165,True,True,1
taiwan,Best XGBoost,test,isotonic,0.76,138,30,4643,1189,0.007166666666666665,-2.245138888888889,0.0,0.032403918613413706,True,True,4
taiwan,Best XGBoost,test,isotonic,0.77,115,20,4653,1212,0.008007246376811591,-2.3862318840579713,0.0,0.036204580452802976,True,True,1
taiwan,Best XGBoost,test,isotonic,0.78,105,18,4655,1222,0.006863636363636363,-2.5401515151515155,0.0,0.031033774063163662,True,True,2
taiwan,Best XGBoost,test,isotonic,0.79,93,16,4657,1234,0.005468253968253966,-2.7087301587301593,0.0,0.024724584634155083,True,True,1
taiwan,Best XGBoost,test,isotonic,0.8,62,6,4667,1265,0.006333333333333332,-2.8941666666666674,0.0,0.028636021100226068,True,True,1
taiwan,Best Scorecard,test,isotonic,0.01,1327,4673,0,0,0.21329966329966332,0.21329966329966332,0.0,0.9644295250926751,False,True,2
taiwan,Best Scorecard,test,isotonic,0.02,1326,4650,23,1,0.20518367346938776,0.20527210884353742,0.0,0.9277332636144133,False,True,3
taiwan,Best Scorecard,test,isotonic,0.03,1325,4604,69,2,0.19710137457044674,0.1970790378006873,0.0,0.8911893349078225,True,True,3
taiwan,Best Scorecard,test,isotonic,0.04,1323,4573,100,4,0.18874305555555554,0.1887152777777778,0.0,0.8533973875910574,True,True,5
taiwan,Best Scorecard,test,isotonic,0.05,1311,4288,385,16,0.1808859649122807,0.18017543859649124,0.0,0.8178717328362353,True,True,2
taiwan,Best Scorecard,test,isotonic,0.06,1300,4064,609,27,0.17343262411347518,0.17145390070921987,0.0,0.784171623723324,True,True,1
taiwan,Best Scorecard,test,isotonic,0.07,1284,3860,813,43,0.1655770609318996,0.16254480286738351,0.0,0.7486528753514676,True,True,3
taiwan,Best Scorecard,test,isotonic,0.08,1257,3612,1061,70,0.15715217391304348,0.15344202898550727,0.0,0.7105599423347858,True,True,5
taiwan,Best Scorecard,test,isotonic,0.09,1239,3423,1250,88,0.15007692307692305,0.14413919413919415,0.0,0.6785693582980695,True,True,5
taiwan,Best Scorecard,test,isotonic,0.1,1213,3218,1455,114,0.14257407407407408,0.13462962962962965,0.0,0.644645398978481,True,True,5
taiwan,Best Scorecard,test,isotonic,0.11,1172,2792,1881,155,0.13782022471910113,0.12490636704119852,0.0,0.6231509783832756,True,True,5
taiwan,Best Scorecard,test,isotonic,0.12,1139,2524,2149,188,0.13246969696969696,0.11496212121212124,0.0,0.5989586901418099,True,True,5
taiwan,Best Scorecard,test,isotonic,0.13,1098,2267,2406,229,0.12654214559386973,0.10478927203065136,0.0,0.5721574028358842,True,True,5
taiwan,Best Scorecard,test,isotonic,0.14,1078,2109,2564,249,0.12244573643410853,0.09437984496124033,0.0,0.5536355829726082,True,True,5
taiwan,Best Scorecard,test,isotonic,0.15,1026,1876,2797,301,0.11582352941176471,0.08372549019607844,0.0,0.5236934261270446,True,True,5
taiwan,Best Scorecard,test,isotonic,0.16,984,1680,2993,343,0.11066666666666666,0.07281746031746034,0.0,0.5003767897513187,True,True,5
taiwan,Best Scorecard,test,isotonic,0.17,903,1345,3328,424,0.1045863453815261,0.06164658634538153,0.0,0.4728847568117231,True,True,5
taiwan,Best Scorecard,test,isotonic,0.18,892,1281,3392,435,0.1018008130081301,0.05020325203252038,0.0,0.46029003620857617,True,True,5
taiwan,Best Scorecard,test,isotonic,0.19,872,1207,3466,455,0.09814609053497944,0.03847736625514406,0.0,0.44376529254700575,True,True,5
taiwan,Best Scorecard,test,isotonic,0.2,859,1143,3530,468,0.09554166666666666,0.02645833333333336,0.0,0.43198944988696303,True,True,5
taiwan,Best Scorecard,test,isotonic,0.21,845,1101,3572,482,0.09205485232067512,0.014135021097046452,0.0,0.4162238989631128,True,True,5
taiwan,Best Scorecard,test,isotonic,0.22,827,1043,3630,500,0.0888034188034188,0.0014957264957265182,0.0,0.4015226170463548,True,True,5
taiwan,Best Scorecard,test,isotonic,0.23,819,984,3689,508,0.08751298701298701,-0.011471861471861439,0.0,0.39568795936542733,True,True,5
taiwan,Best Scorecard,test,isotonic,0.24,814,948,3725,513,0.08577192982456139,-0.02478070175438593,0.0,0.38781580930472365,True,True,5
taiwan,Best Scorecard,test,isotonic,0.25,802,887,3786,525,0.08438888888888887,-0.03844444444444439,0.0,0.38156242150213504,True,True,5
taiwan,Best Scorecard,test,isotonic,0.26,801,868,3805,526,0.08267117117117118,-0.05247747747747744,0.0,0.3737958003217988,True,True,5
taiwan,Best Scorecard,test,isotonic,0.27,786,815,3858,541,0.08076027397260274,-0.06689497716894977,0.0,0.3651557225588669,True,True,5
taiwan,Best Scorecard,test,isotonic,0.28,715,671,4002,612,0.07567592592592592,-0.08171296296296299,0.0,0.3421669597253621,True,True,5
taiwan,Best Scorecard,test,isotonic,0.29,707,651,4022,620,0.07351643192488264,-0.09694835680751168,0.0,0.33240285723383256,True,True,5
