dataset,split,model,capacity_pct,review_count,defaults_captured,total_defaults,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,nondefaults_reviewed,false_alarm_count,cost_saved_vs_random_review,cost_saved_vs_no_review,review_cost,net_value,average_risk_score_reviewed,average_risk_score_not_reviewed,candidate_note,test_set_used_for_selection
heloc,heldout_test_diagnostic,Random review baseline,0.15,297,154.59037974683545,1028,0.15037974683544306,0.5205063291139241,0.15037974683544306,1.0000000000000002,142.40962025316455,142.40962025316455,0.0,624.4518987341772,148.5,624.4518987341772,,,expected random review capture,False
heloc,heldout_test_diagnostic,Oracle upper bound,0.15,297,297.0,1028,0.28891050583657585,1.0,0.28891050583657585,1.921206225680934,0.0,0.0,712.0481012658228,1336.5,148.5,1336.5,,,theoretical maximum if defaults were known,False
heloc,heldout_test_diagnostic,Random review baseline,0.2,395,205.6,1028,0.19999999999999998,0.520506329113924,0.19999999999999998,1.0,189.4,189.4,0.0,830.5,197.5,830.5,,,expected random review capture,False
heloc,heldout_test_diagnostic,Oracle upper bound,0.2,395,395.0,1028,0.3842412451361868,1.0,0.3842412451361868,1.921206225680934,0.0,0.0,947.0,1777.5,197.5,1777.5,,,theoretical maximum if defaults were known,False
heloc,heldout_test_diagnostic,Random review baseline,0.25,494,257.1301265822785,1028,0.250126582278481,0.520506329113924,0.250126582278481,1.0,236.86987341772152,236.86987341772152,0.0,1038.6506329113924,247.0,1038.6506329113924,,,expected random review capture,False
heloc,heldout_test_diagnostic,Oracle upper bound,0.25,494,494.0,1028,0.4805447470817121,1.0,0.4805447470817121,1.921206225680934,0.0,0.0,1184.3493670886076,2223.0,247.0,2223.0,,,theoretical maximum if defaults were known,False
heloc,heldout_test_diagnostic,Random review baseline,0.3,593,308.66025316455693,1028,0.300253164556962,0.520506329113924,0.300253164556962,1.0,284.33974683544307,284.33974683544307,0.0,1246.8012658227847,296.5,1246.8012658227847,,,expected random review capture,False
heloc,heldout_test_diagnostic,Oracle upper bound,0.3,593,593.0,1028,0.5768482490272373,1.0,0.5768482490272373,1.921206225680934,0.0,0.0,1421.6987341772153,2668.5,296.5,2668.5,,,theoretical maximum if defaults were known,False
heloc,heldout_test_diagnostic,Random review baseline,0.4,790,411.2,1028,0.39999999999999997,0.520506329113924,0.39999999999999997,1.0,378.8,378.8,0.0,1661.0,395.0,1661.0,,,expected random review capture,False
heloc,heldout_test_diagnostic,Oracle upper bound,0.4,790,790.0,1028,0.7684824902723736,1.0,0.7684824902723736,1.921206225680934,0.0,0.0,1894.0,3555.0,395.0,3555.0,,,theoretical maximum if defaults were known,False
heloc,heldout_test_diagnostic,V2 final locked policy ranking,0.05,99,93.0,1028,0.09046692607003891,0.9393939393939394,0.09046692607003891,1.8047694847305744,6.0,6.0,207.34936708860758,415.5,49.5,415.5,0.9201156276854918,0.499240639746476,same probability ranker as V2 locked manual-review policy,False
heloc,heldout_test_diagnostic,V2 final locked policy ranking,0.1,198,178.0,1028,0.17315175097276264,0.898989898989899,0.17315175097276264,1.727144990763668,20.0,20.0,374.69873417721516,791.0,99.0,791.0,0.8950712086705838,0.4785834485022381,same probability ranker as V2 locked manual-review policy,False
heloc,heldout_test_diagnostic,V2 final locked policy ranking,0.15,297,258.0,1028,0.2509727626459144,0.8686868686868687,0.2509727626459144,1.6689266202884883,39.0,39.0,517.0481012658228,1141.5,148.5,1141.5,0.874342101069536,0.45768014498665105,same probability ranker as V2 locked manual-review policy,False
heloc,heldout_test_diagnostic,V2 final locked policy ranking,0.2,395,341.0,1028,0.3317120622568093,0.8632911392405064,0.3317120622568093,1.6585603112840468,54.0,54.0,677.0,1507.5,197.5,1507.5,0.8554439979367089,0.4365610810887675,same probability ranker as V2 locked manual-review policy,False
heloc,heldout_test_diagnostic,V2 final locked policy ranking,0.25,494,426.0,1028,0.4143968871595331,0.8623481781376519,0.4143968871595331,1.6567486885426679,68.0,68.0,844.3493670886076,1883.0,247.0,1883.0,0.8371204009777359,0.4146721196639103,same probability ranker as V2 locked manual-review policy,False
heloc,heldout_test_diagnostic,V2 final locked policy ranking,0.3,593,496.0,1028,0.48249027237354086,0.836424957841484,0.48249027237354086,1.6069448363199716,97.0,97.0,936.6987341772153,2183.5,296.5,2183.5,0.818913737864776,0.3922221713107385,same probability ranker as V2 locked manual-review policy,False
heloc,heldout_test_diagnostic,V2 final locked policy ranking,0.4,790,627.0,1028,0.6099221789883269,0.7936708860759494,0.6099221789883269,1.5248054474708173,163.0,163.0,1079.0,2740.0,395.0,2740.0,0.7813138044513489,0.3463535711296938,same probability ranker as V2 locked manual-review policy,False
heloc,heldout_test_diagnostic,Best CatBoost probability ranking,0.05,99,96.0,1028,0.0933852140077821,0.9696969696969697,0.0933852140077821,1.8629878552057542,3.0,3.0,222.34936708860758,430.5,49.5,430.5,0.9089845264456381,0.5000597169968171,,False
heloc,heldout_test_diagnostic,Best CatBoost probability ranking,0.1,198,183.0,1028,0.17801556420233464,0.9242424242424242,0.17801556420233464,1.7756602994929842,15.0,15.0,399.69873417721516,816.0,99.0,816.0,0.8878743837228702,0.4796299207805395,,False
heloc,heldout_test_diagnostic,Best CatBoost probability ranking,0.15,297,267.0,1028,0.259727626459144,0.898989898989899,0.259727626459144,1.727144990763668,30.0,30.0,562.0481012658228,1186.5,148.5,1186.5,0.8705053791648567,0.45861823575219585,,False
heloc,heldout_test_diagnostic,Best CatBoost probability ranking,0.2,395,346.0,1028,0.33657587548638135,0.8759493670886076,0.33657587548638135,1.6828793774319066,49.0,49.0,702.0,1532.5,197.5,1532.5,0.8542452071893085,0.4371358483318799,,False
heloc,heldout_test_diagnostic,Best CatBoost probability ranking,0.25,494,420.0,1028,0.4085603112840467,0.8502024291497976,0.4085603112840467,1.6334141999716443,74.0,74.0,814.3493670886076,1853.0,247.0,1853.0,0.837370676573816,0.4148820951901972,,False
heloc,heldout_test_diagnostic,Best CatBoost probability ranking,0.3,593,491.0,1028,0.4776264591439689,0.8279932546374368,0.4776264591439689,1.5907457956312623,102.0,102.0,911.6987341772153,2158.5,296.5,2158.5,0.8219875875984889,0.3912176973648649,,False
heloc,heldout_test_diagnostic,Best CatBoost probability ranking,0.4,790,622.0,1028,0.6050583657587548,0.7873417721518987,0.6050583657587548,1.5126459143968871,168.0,168.0,1054.0,2715.0,395.0,2715.0,0.7866982561397248,0.34313069607912616,,False
heloc,heldout_test_diagnostic,Best Scorecard probability ranking,0.05,99,93.0,1028,0.09046692607003891,0.9393939393939394,0.09046692607003891,1.8047694847305744,6.0,6.0,207.34936708860758,415.5,49.5,415.5,0.9201156276854918,0.499240639746476,,False
heloc,heldout_test_diagnostic,Best Scorecard probability ranking,0.1,198,178.0,1028,0.17315175097276264,0.898989898989899,0.17315175097276264,1.727144990763668,20.0,20.0,374.69873417721516,791.0,99.0,791.0,0.8950712086705838,0.4785834485022381,,False
heloc,heldout_test_diagnostic,Best Scorecard probability ranking,0.15,297,258.0,1028,0.2509727626459144,0.8686868686868687,0.2509727626459144,1.6689266202884883,39.0,39.0,517.0481012658228,1141.5,148.5,1141.5,0.874342101069536,0.45768014498665105,,False
heloc,heldout_test_diagnostic,Best Scorecard probability ranking,0.2,395,341.0,1028,0.3317120622568093,0.8632911392405064,0.3317120622568093,1.6585603112840468,54.0,54.0,677.0,1507.5,197.5,1507.5,0.8554439979367089,0.4365610810887675,,False
heloc,heldout_test_diagnostic,Best Scorecard probability ranking,0.25,494,426.0,1028,0.4143968871595331,0.8623481781376519,0.4143968871595331,1.6567486885426679,68.0,68.0,844.3493670886076,1883.0,247.0,1883.0,0.8371204009777359,0.4146721196639103,,False
heloc,heldout_test_diagnostic,Best Scorecard probability ranking,0.3,593,496.0,1028,0.48249027237354086,0.836424957841484,0.48249027237354086,1.6069448363199716,97.0,97.0,936.6987341772153,2183.5,296.5,2183.5,0.818913737864776,0.3922221713107385,,False
heloc,heldout_test_diagnostic,Best Scorecard probability ranking,0.4,790,627.0,1028,0.6099221789883269,0.7936708860759494,0.6099221789883269,1.5248054474708173,163.0,163.0,1079.0,2740.0,395.0,2740.0,0.7813138044513489,0.3463535711296938,,False
heloc,heldout_test_diagnostic,Best literature reproduction model,0.05,99,96.0,1028,0.0933852140077821,0.9696969696969697,0.0933852140077821,1.8629878552057542,3.0,3.0,222.34936708860758,430.5,49.5,430.5,0.9089845264456381,0.5000597169968171,Best literature reproduction: CatBoost Balanced proxy,False
heloc,heldout_test_diagnostic,Best literature reproduction model,0.1,198,183.0,1028,0.17801556420233464,0.9242424242424242,0.17801556420233464,1.7756602994929842,15.0,15.0,399.69873417721516,816.0,99.0,816.0,0.8878743837228702,0.4796299207805395,Best literature reproduction: CatBoost Balanced proxy,False
heloc,heldout_test_diagnostic,Best literature reproduction model,0.15,297,267.0,1028,0.259727626459144,0.898989898989899,0.259727626459144,1.727144990763668,30.0,30.0,562.0481012658228,1186.5,148.5,1186.5,0.8705053791648567,0.45861823575219585,Best literature reproduction: CatBoost Balanced proxy,False
heloc,heldout_test_diagnostic,Best literature reproduction model,0.2,395,346.0,1028,0.33657587548638135,0.8759493670886076,0.33657587548638135,1.6828793774319066,49.0,49.0,702.0,1532.5,197.5,1532.5,0.8542452071893085,0.4371358483318799,Best literature reproduction: CatBoost Balanced proxy,False
heloc,heldout_test_diagnostic,Best literature reproduction model,0.25,494,420.0,1028,0.4085603112840467,0.8502024291497976,0.4085603112840467,1.6334141999716443,74.0,74.0,814.3493670886076,1853.0,247.0,1853.0,0.837370676573816,0.4148820951901972,Best literature reproduction: CatBoost Balanced proxy,False
heloc,heldout_test_diagnostic,Best literature reproduction model,0.3,593,491.0,1028,0.4776264591439689,0.8279932546374368,0.4776264591439689,1.5907457956312623,102.0,102.0,911.6987341772153,2158.5,296.5,2158.5,0.8219875875984889,0.3912176973648649,Best literature reproduction: CatBoost Balanced proxy,False
